编号,状态,优先级,系列,题目,重复风险/改写判断,写作技法,真实痛点/需求/待办,产品/平台入口,下一步动作,正文链接
011,已成稿,B,AI与外部执行系统,ADHD如何用Agent完成从信息到洞察到选题的完整链路,低：已有正文，可按系列编辑复用。,场景钩子 + 机制翻译 + 一个今天可执行动作,"痛点：我用了十年时间才明白：ADHD 的信息焦虑不是信息太多，是加工环节断了。；需求：Agent 可能会给你一个逻辑自洽但毫无价值的选题——因为它不理解你的读者，不理解你的品牌，不理解你此刻的人生阶段真正需要说...；待办：Agent 的""强制推进""必须建立在一个前提上：你已经有一个稳定的认知框架。",正文已渲染；可进入平台发布包。,保留为素材库，等待系列编排时再改写。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98011_ADHD%E5%A6%82%E4%BD%95%E7%94%A8Agent%E5%AE%8C%E6%88%90%E4%BB%8E%E4%BF%A1%E6%81%AF%E5%88%B0%E6%B4%9E%E5%AF%9F%E5%88%B0%E9%80%89%E9%A2%98%E7%9A%84%E5%AE%8C%E6%95%B4%E9%93%BE%E8%B7%AF.html
012,已成稿,B,AI与外部执行系统,ADHD和LLM都是时间盲，Agent如何同时治愈两个大脑？,低：已有正文，可按系列编辑复用。,场景钩子 + 机制翻译 + 一个今天可执行动作,痛点：ADHD 的困难就在这里：未来奖励的神经权重太低，未来惩罚也经常到临近时才突然变重。；需求：所以 ADHD 和 LLM 都需要 Agent。；待办：只写四行：；当前状态：___；下一步唯一动作：___,正文已渲染；可进入平台发布包。,保留为素材库，等待系列编排时再改写。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98012_ADHD%E5%92%8CLLM%E9%83%BD%E6%98%AF%E6%97%B6%E9%97%B4%E7%9B%B2_Agent%E5%A6%82%E4%BD%95%E5%90%8C%E6%97%B6%E6%B2%BB%E6%84%88%E4%B8%A4%E4%B8%AA%E5%A4%A7%E8%84%91.html
013,已成稿,A,ADHD基础叙事,ADHD如何构建一个永远不会断更的选题系统——不是靠自律，而是靠反应堆供料,低：已有正文，可按系列编辑复用。,场景钩子 + 机制翻译 + 一个今天可执行动作,痛点：聊天里有选题，刷视频时有选题，焦虑时有选题，崩溃后有选题，和AI对话时更是满屏选题。；需求：你需要每天都能接触到一个可推进的入口。；待办：Decide: 是否把当前选题池升级成“倾倒区-发酵池-草稿池-发布池”四层看板。,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98013_ADHD%E5%A6%82%E4%BD%95%E6%9E%84%E5%BB%BA%E4%B8%80%E4%B8%AA%E6%B0%B8%E8%BF%9C%E4%B8%8D%E4%BC%9A%E6%96%AD%E6%9B%B4%E7%9A%84%E9%80%89%E9%A2%98%E7%B3%BB%E7%BB%9F_%E4%B8%8D%E6%98%AF%E9%9D%A0%E8%87%AA%E5%BE%8B%E8%80%8C%E6%98%AF%E9%9D%A0%E5%8F%8D%E5%BA%94%E5%A0%86%E4%BE%9B%E6%96%99.html
014,已成稿,B,ADHD基础叙事,为什么ADHD最懂LLM的幻觉？你不是总被骗，是太熟悉脑内生成的真实感,低：已有正文，可按系列编辑复用。,场景钩子 + 机制翻译 + 一个今天可执行动作,痛点：你有没有经历过一种很怪的瞬间：你明明没有证据，却已经把一个故事在脑子里补完了。；需求：所以 ADHD 和 AI 协作时，真正的关键不是让 AI 更会写，而是让 AI 更会校验。；待办：第一行：我现在相信什么。；第二行：我有什么证据。；第三行：还有哪一种解释也可能成立。,正文已渲染；可进入平台发布包。,保留为素材库，等待系列编排时再改写。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98014_%E4%B8%BA%E4%BB%80%E4%B9%88ADHD%E6%9C%80%E6%87%82LLM%E7%9A%84%E5%B9%BB%E8%A7%89_%E4%BD%A0%E4%B8%8D%E6%98%AF%E6%80%BB%E8%A2%AB%E9%AA%97%E6%98%AF%E5%A4%AA%E7%86%9F%E6%82%89%E8%84%91%E5%86%85%E7%94%9F%E6%88%90%E7%9A%84%E7%9C%9F%E5%AE%9E%E6%84%9F.html
015,已成稿,B,AI与外部执行系统,为什么ADHD和LLM都需要Harness？不是限制想象力，而是给高能系统装轨道,低：已有正文，可按系列编辑复用。,场景钩子 + 机制翻译 + 一个今天可执行动作,痛点：第二，你最容易崩溃的时刻，往往不是没事做，而是所有事都能做。；需求：很多人误会 ADHD，以为它需要的是更强的意志力。；待办：选一个你最常失控的场景，写下四句话： 输入是什么？,正文已渲染；可进入平台发布包。,保留为素材库，等待系列编排时再改写。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98015_%E4%B8%BA%E4%BB%80%E4%B9%88ADHD%E5%92%8CLLM%E9%83%BD%E9%9C%80%E8%A6%81Harness_%E4%B8%8D%E6%98%AF%E9%99%90%E5%88%B6%E6%83%B3%E8%B1%A1%E5%8A%9B%E8%80%8C%E6%98%AF%E7%BB%99%E9%AB%98%E8%83%BD%E7%B3%BB%E7%BB%9F%E8%A3%85%E8%BD%A8%E9%81%93.html
016,已成稿,A,AI与外部执行系统,为什么从“我想做”到“Agent帮我做了”是ADHD的救赎？启动不是意愿问题，是接口问题,低：已有正文，可按系列编辑复用。,技术隐喻 + 生活场景对照 + 机制解释,痛点：ADHD 最痛苦的一句话不是“我不会”，而是“我明明想做”。；需求：ADHD 不是缺愿望，ADHD 缺的是把愿望接进现实的接口。；待办：格式很简单：；我想做：___；最小可见结果：___,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98016_%E4%B8%BA%E4%BB%80%E4%B9%88%E4%BB%8E%E6%88%91%E6%83%B3%E5%81%9A%E5%88%B0Agent%E5%B8%AE%E6%88%91%E5%81%9A%E4%BA%86%E6%98%AFADHD%E7%9A%84%E6%95%91%E8%B5%8E_%E5%90%AF%E5%8A%A8%E4%B8%8D%E6%98%AF%E6%84%8F%E6%84%BF%E9%97%AE%E9%A2%98%E6%98%AF%E6%8E%A5%E5%8F%A3%E9%97%AE%E9%A2%98.html
017,已成稿,B,情绪与关系机制,为什么ADHD的情绪风暴和LLM的温度参数是同构的？温度太高时，世界会变得太有意义,低：已有正文，可按系列编辑复用。,场景钩子 + 机制翻译 + 一个今天可执行动作,痛点：焦虑时，你觉得一个错误会毁掉全部人生。；需求：你需要的是温度管理，而不是温度消灭。；待办：写下：；这三问能救你很多次。,正文已渲染；可进入平台发布包。,保留为素材库，等待系列编排时再改写。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98017_%E4%B8%BA%E4%BB%80%E4%B9%88ADHD%E7%9A%84%E6%83%85%E7%BB%AA%E9%A3%8E%E6%9A%B4%E5%92%8CLLM%E7%9A%84%E6%B8%A9%E5%BA%A6%E5%8F%82%E6%95%B0%E6%98%AF%E5%90%8C%E6%9E%84%E7%9A%84_%E6%B8%A9%E5%BA%A6%E5%A4%AA%E9%AB%98%E6%97%B6%E4%B8%96%E7%95%8C%E4%BC%9A%E5%8F%98%E5%BE%97%E5%A4%AA%E6%9C%89%E6%84%8F%E4%B9%89.html
018,已成稿,B,AI与外部执行系统,为什么ADHD的身体不安分遇到AI反而成了优势？你动来动去的大脑终于有了外接执行器,低：已有正文，可按系列编辑复用。,场景钩子 + 机制翻译 + 一个今天可执行动作,痛点：你可能从小就被说过：别抖腿，坐好，别转笔，别走来走去。；需求：所以 ADHD 的关键不是安静，而是把运动中的认知捕获下来。；待办：找一个十分钟的路程，只做一件事：边走边对手机说一个你最近最想讲的问题。不要整理，不要装正式，不要管顺序。；回来后让 Agent 做三件事：,正文已渲染；可进入平台发布包。,保留为素材库，等待系列编排时再改写。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98018_%E4%B8%BA%E4%BB%80%E4%B9%88ADHD%E7%9A%84%E8%BA%AB%E4%BD%93%E4%B8%8D%E5%AE%89%E5%88%86%E9%81%87%E5%88%B0AI%E5%8F%8D%E8%80%8C%E6%88%90%E4%BA%86%E4%BC%98%E5%8A%BF_%E4%BD%A0%E5%8A%A8%E6%9D%A5%E5%8A%A8%E5%8E%BB%E7%9A%84%E5%A4%A7%E8%84%91%E7%BB%88%E4%BA%8E%E6%9C%89%E4%BA%86%E5%A4%96%E6%8E%A5%E6%89%A7%E8%A1%8C%E5%99%A8.html
019,已成稿,B,ADHD基础叙事,为什么80%的成人ADHD从未被诊断？不是他们没有症状，是他们太会代偿,低：已有正文，可按系列编辑复用。,场景钩子 + 机制翻译 + 一个今天可执行动作,痛点：所以成人 ADHD 的识别，不应该只问“你有没有失败”，还要问“你成功的成本是不是异常高”。；需求：但有一个现象很值得认真谈：很多成人 ADHD 并不是没有痛苦，而是痛苦被成绩、职业、聪明、能扛、会装正常长期盖住了。；待办：列三栏：；我表面做到了什么？；这张清单不能替代诊断，但它能帮你停止用“我还能撑”掩盖系统问题。,正文已渲染；可进入平台发布包。,保留为素材库，等待系列编排时再改写。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98019_%E4%B8%BA%E4%BB%80%E4%B9%8880%25%E7%9A%84%E6%88%90%E4%BA%BAADHD%E4%BB%8E%E6%9C%AA%E8%A2%AB%E8%AF%8A%E6%96%AD_%E4%B8%8D%E6%98%AF%E4%BB%96%E4%BB%AC%E6%B2%A1%E6%9C%89%E7%97%87%E7%8A%B6%E6%98%AF%E4%BB%96%E4%BB%AC%E5%A4%AA%E4%BC%9A%E4%BB%A3%E5%81%BF.html
020,已成稿,B,情绪与关系机制,为什么ADHD在聚会上是焦点，回家却想死？你的社交高光其实是一场能量透支,低：已有正文，可按系列编辑复用。,场景钩子 + 机制翻译 + 一个今天可执行动作,痛点：第二，聚会结束后的崩溃往往比聚会本身更累。；需求：ADHD 需要的是社交后处理协议，而不是强迫自己一直像现场那样闪亮。；待办：提前写好三句话：；ADHD 在聚会上发光，不代表他不需要黑暗里充电。你的高光不是假的，你的崩溃也不是矫情。那只是同一个高敏系统的两面：上场时太亮，下场后就需要慢慢熄灯。,正文已渲染；可进入平台发布包。,保留为素材库，等待系列编排时再改写。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98020_%E4%B8%BA%E4%BB%80%E4%B9%88ADHD%E5%9C%A8%E8%81%9A%E4%BC%9A%E4%B8%8A%E6%98%AF%E7%84%A6%E7%82%B9%E5%9B%9E%E5%AE%B6%E5%8D%B4%E6%83%B3%E6%AD%BB_%E4%BD%A0%E7%9A%84%E7%A4%BE%E4%BA%A4%E9%AB%98%E5%85%89%E5%85%B6%E5%AE%9E%E6%98%AF%E4%B8%80%E5%9C%BA%E8%83%BD%E9%87%8F%E9%80%8F%E6%94%AF.html
021,已成稿,A,AI与外部执行系统,为什么Agent正在成为ADHD新的多巴胺来源？危险不在工具好用，而在回路太顺,低：已有正文，可按系列编辑复用。,场景钩子 + 机制翻译 + 一个今天可执行动作,痛点：ADHD 最容易被什么东西吸住？；需求：ADHD 最稀缺的不是想法，是把想法接进现实的闭环。；待办：每次结束前只允许三种结果之一：；这不是打击热情，而是保护热情。ADHD 最稀缺的不是想法，是把想法接进现实的闭环。Agent 越强，越要小心别让它把你困在无限生成的舒服里。；真正的外部...,正文已渲染；可进入平台发布包。,做二轮编辑：补私人场景、压缩开头、加强落地动作。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98021_%E4%B8%BA%E4%BB%80%E4%B9%88Agent%E6%AD%A3%E5%9C%A8%E6%88%90%E4%B8%BAADHD%E6%96%B0%E7%9A%84%E5%A4%9A%E5%B7%B4%E8%83%BA%E6%9D%A5%E6%BA%90_%E5%8D%B1%E9%99%A9%E4%B8%8D%E5%9C%A8%E5%B7%A5%E5%85%B7%E5%A5%BD%E7%94%A8%E8%80%8C%E5%9C%A8%E5%9B%9E%E8%B7%AF%E5%A4%AA%E9%A1%BA.html
022,已成稿,B,ADHD基础叙事,为什么ADHD是应试教育的最极端受害者？你不是不聪明，是被迫用最低带宽证明最高能力,低：已有正文，可按系列编辑复用。,场景钩子 + 机制翻译 + 一个今天可执行动作,痛点：ADHD 在这种系统里最容易被误读。；需求：第一，很多 ADHD 并不是一直差，而是极不稳定。；待办：写下三个你过去以为是“我不行”的学习场景，然后分别标注：；这张表会改写很多旧伤。；ADHD 不需要用应试教育的标准重新审判自己一生。你当然要承认现实里的考试和规则，但你也要知道：如果一...,正文已渲染；可进入平台发布包。,保留为素材库，等待系列编排时再改写。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98022_%E4%B8%BA%E4%BB%80%E4%B9%88ADHD%E6%98%AF%E5%BA%94%E8%AF%95%E6%95%99%E8%82%B2%E7%9A%84%E6%9C%80%E6%9E%81%E7%AB%AF%E5%8F%97%E5%AE%B3%E8%80%85_%E4%BD%A0%E4%B8%8D%E6%98%AF%E4%B8%8D%E8%81%AA%E6%98%8E%E6%98%AF%E8%A2%AB%E8%BF%AB%E7%94%A8%E6%9C%80%E4%BD%8E%E5%B8%A6%E5%AE%BD%E8%AF%81%E6%98%8E%E6%9C%80%E9%AB%98%E8%83%BD%E5%8A%9B.html
023,已成稿,B,ADHD基础叙事,为什么ADHD在职场中总是聊起来聪明做起来糊涂？你不是能力差，是执行接口掉包了,低：已有正文，可按系列编辑复用。,技术隐喻 + 生活场景对照 + 机制解释,痛点：职场最容易让 ADHD 暴露的，是“从会议到落地”的断层。；需求：你需要的是把每次聪明发言立刻固化成执行对象。；待办：每次你说出一个有价值判断，就补一句：；“这件事我建议落成一个动作：___，负责人是___，完成证据是___。”；如果你不方便当场说，就让 Agent 会后整理会议记录时自动生成。,正文已渲染；可进入平台发布包。,保留为素材库，等待系列编排时再改写。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98023_%E4%B8%BA%E4%BB%80%E4%B9%88ADHD%E5%9C%A8%E8%81%8C%E5%9C%BA%E4%B8%AD%E6%80%BB%E6%98%AF%E8%81%8A%E8%B5%B7%E6%9D%A5%E8%81%AA%E6%98%8E%E5%81%9A%E8%B5%B7%E6%9D%A5%E7%B3%8A%E6%B6%82_%E4%BD%A0%E4%B8%8D%E6%98%AF%E8%83%BD%E5%8A%9B%E5%B7%AE%E6%98%AF%E6%89%A7%E8%A1%8C%E6%8E%A5%E5%8F%A3%E6%8E%89%E5%8C%85%E4%BA%86.html
024,已成稿,B,ADHD基础叙事,为什么ADHD的能量在冬天消失却在春天爆发？你不是懒惰，是节律系统对光和新鲜感太敏感,低：已有正文，可按系列编辑复用。,场景钩子 + 机制翻译 + 一个今天可执行动作,痛点：回想过去三年，标出： 哪个月份最容易低落？；需求：所以 ADHD 需要季节性工作流。；待办：回想过去三年，标出：；然后把工作流按季节重排。,正文已渲染；可进入平台发布包。,保留为素材库，等待系列编排时再改写。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98024_%E4%B8%BA%E4%BB%80%E4%B9%88ADHD%E7%9A%84%E8%83%BD%E9%87%8F%E5%9C%A8%E5%86%AC%E5%A4%A9%E6%B6%88%E5%A4%B1%E5%8D%B4%E5%9C%A8%E6%98%A5%E5%A4%A9%E7%88%86%E5%8F%91_%E4%BD%A0%E4%B8%8D%E6%98%AF%E6%87%92%E6%83%B0%E6%98%AF%E8%8A%82%E5%BE%8B%E7%B3%BB%E7%BB%9F%E5%AF%B9%E5%85%89%E5%92%8C%E6%96%B0%E9%B2%9C%E6%84%9F%E5%A4%AA%E6%95%8F%E6%84%9F.html
025,已成稿,B,高方差认知优势,为什么ADHD是文明的隐藏引擎？稳定系统负责延续，高方差大脑负责突变,低：已有正文，可按系列编辑复用。,场景钩子 + 机制翻译 + 一个今天可执行动作,痛点：写下三个问题： 我在哪类问题上最容易被点燃？；需求：文明需要突变，也需要保留突变成果的机制。；待办：写下三个问题：；我在哪类问题上最容易被点燃？；ADHD 不该只被定义为稳定系统里的故障。它也可能是文明在变化时保留探索能力的一种方式。稳定的人让世界继续转，高方差的人让世界偶尔换轨。,正文已渲染；可进入平台发布包。,保留为素材库，等待系列编排时再改写。,../../delivery/rendered_articles/%E9%97%AE%E9%A2%98025_%E4%B8%BA%E4%BB%80%E4%B9%88ADHD%E6%98%AF%E6%96%87%E6%98%8E%E7%9A%84%E9%9A%90%E8%97%8F%E5%BC%95%E6%93%8E_%E7%A8%B3%E5%AE%9A%E7%B3%BB%E7%BB%9F%E8%B4%9F%E8%B4%A3%E5%BB%B6%E7%BB%AD%E9%AB%98%E6%96%B9%E5%B7%AE%E5%A4%A7%E8%84%91%E8%B4%9F%E8%B4%A3%E7%AA%81%E5%8F%98.html
