"name","platform","region","tier","adhd_signal","ai_signal","evidence_level","source_or_note","next_action"
"Olena Mytruk","Substack","Global","A-confirmed-or-strong","AI memory/executive function adjacent","Claude Code command memory","article","olenamytruk.substack.com","复核ADHD自述强度"
"Naomi Carrigan","Personal blog","Global","A-confirmed-or-strong","work/wellbeing ADHD-adjacent","AI assistant for work/wellbeing","first-party blog","blog.nhcarrigan.com","补社媒"
"Jenna Redfield","Substack","Global","A-confirmed-or-strong","ADHD management","ChatGPT for ADHD","article","jennaredfield.substack.com","补社媒"
"The ADHD Mompreneur","Podcast","Global","A-confirmed-or-strong","ADHD creator brand","ADHD and ChatGPT","podcast","theadhdmompreneur.com","补主持人信息"
"ADHD Founders: Jesse","Podcast","Global","A-confirmed-or-strong","ADHD founder community","vibe coding / Claude / ChatGPT","podcast episode","ADHD Founders EP63","拆分嘉宾主页"
"ADHD Founders: Marie","Podcast","Global","A-confirmed-or-strong","ADHD founder community","vibe coding / Claude / ChatGPT","podcast episode","ADHD Founders EP63","拆分嘉宾主页"
"ADHD Founders: Sharon","Podcast","Global","A-confirmed-or-strong","ADHD founder/product builder","AI agents / Shelpful","podcast episode","ADHD Founders EP63","拆分嘉宾主页"
"Bob Dietrich","ADD.org course","Global","A-confirmed-or-strong","ADHD educator","ChatGPT ADHD coach course","organization course","add.org","补个人主页"
"Antonia / The Universe","YouTube","Global","A-confirmed-or-strong","ADHD prompts creator","ChatGPT ADHD hacks","YouTube indexed","YouTube NUU1n5O6d4o","补频道链接"
"Mobile Jon","Personal blog","Global","A-confirmed-or-strong","ADHD self-reflection","ChatGPT/ADHD parallels","first-party blog","mobile-jon.com","补社媒"
"和张程一起学习吧","XHS/B站/播客/公众号","CN","B-high-value-lead","needs account-level verification","AI/ChatGPT/Claude/Cursor/Suno or ADHD productivity","lead","local/web indexed lead","登录小红书复核主页、粉丝、笔记、近30日AI内容"
"牛津kate朱朱","XHS/B站/播客/公众号","CN","B-high-value-lead","needs account-level verification","AI/ChatGPT/Claude/Cursor/Suno or ADHD productivity","lead","local/web indexed lead","登录小红书复核主页、粉丝、笔记、近30日AI内容"
"张程 coachchengzhang.com","XHS/B站/播客/公众号","CN","B-high-value-lead","needs account-level verification","AI/ChatGPT/Claude/Cursor/Suno or ADHD productivity","lead","local/web indexed lead","登录小红书复核主页、粉丝、笔记、近30日AI内容"
"散心二意","XHS/B站/播客/公众号","CN","B-high-value-lead","needs account-level verification","AI/ChatGPT/Claude/Cursor/Suno or ADHD productivity","lead","local/web indexed lead","登录小红书复核主页、粉丝、笔记、近30日AI内容"
"ADHD执行力实验室公众号","XHS/B站/播客/公众号","CN","B-high-value-lead","needs account-level verification","AI/ChatGPT/Claude/Cursor/Suno or ADHD productivity","lead","local/web indexed lead","登录小红书复核主页、粉丝、笔记、近30日AI内容"
"执行力实验室","XHS/B站/播客/公众号","CN","B-high-value-lead","needs account-level verification","AI/ChatGPT/Claude/Cursor/Suno or ADHD productivity","lead","local/web indexed lead","登录小红书复核主页、粉丝、笔记、近30日AI内容"
"ADHD邪修日记","XHS/B站/播客/公众号","CN","B-high-value-lead","needs account-level verification","AI/ChatGPT/Claude/Cursor/Suno or ADHD productivity","lead","local/web indexed lead","登录小红书复核主页、粉丝、笔记、近30日AI内容"
"明天的我也是ADHD","XHS/B站/播客/公众号","CN","B-high-value-lead","needs account-level verification","AI/ChatGPT/Claude/Cursor/Suno or ADHD productivity","lead","local/web indexed lead","登录小红书复核主页、粉丝、笔记、近30日AI内容"
"KKK_Cassie啊","XHS/B站/播客/公众号","CN","B-high-value-lead","needs account-level verification","AI/ChatGPT/Claude/Cursor/Suno or ADHD productivity","lead","local/web indexed lead","登录小红书复核主页、粉丝、笔记、近30日AI内容"
"橘女士","XHS/B站/播客/公众号","CN","B-high-value-lead","needs account-level verification","AI/ChatGPT/Claude/Cursor/Suno or ADHD productivity","lead","local/web indexed lead","登录小红书复核主页、粉丝、笔记、近30日AI内容"
"C君","XHS/B站/播客/公众号","CN","B-high-value-lead","needs account-level verification","AI/ChatGPT/Claude/Cursor/Suno or ADHD productivity","lead","local/web indexed lead","登录小红书复核主页、粉丝、笔记、近30日AI内容"
"AI金三啊","XHS/B站/播客/公众号","CN","B-high-value-lead","needs account-level verification","AI/ChatGPT/Claude/Cursor/Suno or ADHD productivity","lead","local/web indexed lead","登录小红书复核主页、粉丝、笔记、近30日AI内容"
"Dopamind中文","XHS/B站/播客/公众号","CN","B-high-value-lead","needs account-level verification","AI/ChatGPT/Claude/Cursor/Suno or ADHD productivity","lead","local/web indexed lead","登录小红书复核主页、粉丝、笔记、近30日AI内容"
"ADHD Pal中文","XHS/B站/播客/公众号","CN","B-high-value-lead","needs account-level verification","AI/ChatGPT/Claude/Cursor/Suno or ADHD productivity","lead","local/web indexed lead","登录小红书复核主页、粉丝、笔记、近30日AI内容"
"普乐AI/Ace Studio ADHD音乐创作线索","XHS/B站/播客/公众号","CN","B-high-value-lead","needs account-level verification","AI/ChatGPT/Claude/Cursor/Suno or ADHD productivity","lead","local/web indexed lead","登录小红书复核主页、粉丝、笔记、近30日AI内容"
"小红书 ADHD AI 搜索集合","XHS/B站/播客/公众号","CN","B-high-value-lead","needs account-level verification","AI/ChatGPT/Claude/Cursor/Suno or ADHD productivity","lead","local/web indexed lead","登录小红书复核主页、粉丝、笔记、近30日AI内容"
"鹤老师说经济","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"李一舟","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"李一舟AI","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"张诗童/张诗同","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"小蓝AI","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"AI动漫社","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"王子沐AI新商业","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"讲AI的老韩","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"王队长/元宇宙王队长","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"AIGC王队长","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"艾维奇Vic","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"GenJi是真想教会你","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"佛系小詹设计日常","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"秋芝2046","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"姚哲禹","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"子鱼哎吖","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"冷小呆头像馆","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"小瓜爱魔法","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"AI训练师大宇","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"AI产品阿颖","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"秋葉aaaki","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"图灵的猫","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"跟李沐学AI","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"老麦的工具库","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"同济子豪兄","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"梗直哥丶","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"Git源宝","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"AI研究室-帆哥","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"李沐","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"张俊林","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"苏剑林","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"季宇/mackler","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"周舒畅","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"曹宇","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"林骁","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"郑宇航","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"周砚","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"王璐","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"小互/互联网的那点事","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"Simon_阿文","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"宝玉xp","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"马少平thu","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"高飞","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"梁赛","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"海辛Hyacinth","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"i陆三金","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"归藏的AI工具箱","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"karminski-牙医","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"爱可可-爱生活","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"数字生命卡兹克","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"花叔/AI进化论-花生","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"李继刚","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"赛博禅心","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"汗青 AITalk","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"赛博奇","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"郭震AI","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"狐璃璃","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"李好鸭","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"土豆人 Tudou_man","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"野菩萨","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"童欧巴","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"卫夕","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"MasterPa","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"OrangeCLK","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"AI小诸葛","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
